Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Validation Rules,Dependencies,Known Assumptions,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date,Source Evidence
UI-011,Game Plan,"As a coach, I want to set tactical identity before a week or match so the simulation uses my chosen plan.","Display current tactical plan; allow valid plan changes; return to the origin; encode match tactical submissions with fixture and revision.","Invalid/stale plan; open from match day; cancel; two concurrent updates; stale revision.","Plan enum values must be valid; session revalidates fixture ID and revision.","GamePlanView; TacticalPlan; CoachWorldStore.setGamePlan/matchControl; CareerSession","Game plan is authoritative input, not a view-only preference.","T-UI-011-H set/return; T-UI-011-S stale match revision; T-UI-011-I invalid enum; T-UI-011-C concurrent action.","Implemented; tactical suites passed; live journey unverified",0,Medium,"The route is shared by weekly planning and in-match tactics.",2026-08-19,"GamePlanView.swift; CoachWorldStore.swift; TacticalManagementTests.swift; MatchReducerTests.swift"
UI-012,Practice Plan,"As a coach, I want to choose practice emphasis so the week can advance with an intentional preparation plan.","Show the practice plan and available choices; persist a valid selection; refuse week advancement until required preparation exists.","No minutes; insufficient budget; stale option; repeated selection; accessibility text expansion.","Minutes and plan values are validated by the tactical authority.","PracticePlanView; TacticalPractice; CoachWorldStore.setPracticePlan; CareerSession","A plan must exist for advanceWeek when the authority requires it.","T-UI-012-H choose/advance; T-UI-012-B budget boundary; T-UI-012-S stale choice; T-UI-012-A AX5.","Implemented; provider and tactical suites passed; live journey unverified",0,Medium,"Weekly advance refusal is a high-value user journey.",2026-08-19,"PracticePlanView.swift; CoachWorldStore.swift; TacticalManagementTests.swift"
UI-013,Team Health,"As a coach, I want fatigue, injury, suspension, and condition evidence so I can manage availability.","Show bounded player health statuses and aggregate condition/fatigue counts derived from lifecycle state.","Empty roster; player missing lifecycle; 128+ statuses; injured and suspended player; zero average denominator.","Rows are bounded to 128; empty averages use safe defaults; IDs must map to players.","CoachWorldTeamHealthProvider; TeamHealthView; people lifecycle state","Health is read-only on this surface and changes through simulation.","T-UI-013-H inspect health; T-UI-013-B empty/128 bound; T-UI-013-C injury/suspension evidence.","Implemented; lifecycle suites passed; live journey unverified",0,Medium,"Manual device review is needed for long generated names.",2026-08-19,"CoachWorldTeamHealthProvider.swift; TeamHealthView.swift; PeopleLifecycleTests.swift"
UI-014,Match Day,"As a coach, I want to watch the current match and make bounded coaching calls without controlling players directly.","Render the deterministic match checkpoint, score/field state, pause/takeover/advance controls, tactical plan and call-ins, and allow a truthful exit path.","Match not started; match in progress; stale checkpoint; interruption; pause; final snap; no fixture.","Intent IDs include fixture and revision; session refuses stale or invalid actions; no direct player control exists.","MatchDayView; MatchDayField; CoachWorldStore.matchControl; MatchReducer","Canvas/Timeline render a 2D view; match decisions are coach-level only.","T-UI-014-H start/advance/call-in; T-UI-014-S stale revision; T-UI-014-B first/final snap; T-UI-014-A VoiceOver/control labels; T-UI-014-R rotate at install floor.","Implemented; match and reducer suites passed; simulator/manual layout unverified",1,High,"Prior UI review identified navigation/landscape risk; current code requires a real-device walk.",2026-08-19,"MatchDayView.swift; MatchDayField.swift; MatchReducerTests.swift; docs/reviews/2026-08-18-exhaustive-design-critique.md"
UI-015,Aftermath,"As a coach, I want a post-match receipt so I can understand what happened and continue the week.","Show authoritative result and consequences; continue to HQ; open the detailed box score; persist route changes.","No aftermath; close before persistence; draw/tie; missing box score; duplicate continue.","Model must be present; box score route requires aftermath; result is read-only from engine output.","AftermathView; GameDetailBoxScoreView; CoachWorldStore; SaveCoordinator","The aftermath is produced by the match authority.","T-UI-015-H continue/open box score; T-UI-015-E missing model; T-UI-015-C duplicate continue; T-UI-015-A AX5.","Implemented; match/read-model paths covered; live journey unverified",0,Medium,"Box score is a child route of the aftermath model.",2026-08-19,"AftermathView.swift; GameDetailBoxScoreView.swift; CoachWorldAppRootView.swift"
UI-016,Roster,"As a coach, I want to inspect my roster so I can make personnel decisions.","Show authoritative roster rows, positions, ratings/evidence, jersey numbers, status, and links to profiles/development/health.","Empty roster; duplicate jersey numbers; injured player; long name; sort/filter; player unavailable.","Rows derive from controlled programme/team ownership; jersey assignment is deterministic and bounded.","CoachWorldPersonnelProvider; RosterView; JerseyNumbers; PlayerProfileReadModel","Player identity and ratings are fictional and deterministic.","T-UI-016-H inspect/sort/profile; T-UI-016-B empty/duplicate numbers; T-UI-016-A AX5/long names.","Implemented; provider/jersey/read-model suites passed; live journey unverified",1,High,"Prior critique reported generated-name truncation; needs device verification.",2026-08-19,"RosterView.swift; CoachWorldPersonnelProvider.swift; JerseyNumberTests.swift"
UI-017,Depth Chart,"As a coach, I want to assign depth and personnel packages so the game uses the roster roles I intend.","Display position units and valid placements; allow supported depth/personnel-plan selections; reject invalid or stale actions.","Missing position coverage; duplicate player; empty unit; invalid package; long names.","Position eligibility and minimum playable coverage are enforced by model/rules.","DepthChartView; PersonnelPackagesView; DepthChart; CoachWorldStore.setPersonnelPlan","Depth chart does not mutate hidden player attributes.","T-UI-017-H assign/select; T-UI-017-I invalid position/player; T-UI-017-B minimum playable coverage; T-UI-017-A AX5.","Implemented; depth-chart and model suites passed; live journey unverified",0,Medium,"The package route is an alias into the depth-chart host.",2026-08-19,"DepthChartView.swift; PersonnelPackagesView.swift; DepthChartTests.swift"
UI-018,Player Profile,"As a coach, I want a player profile with development evidence so I can make informed personnel decisions.","Open a selected controlled-roster player; show authoritative identity, ratings, health, history, and development evidence; return to roster.","Unknown player ID; departed player; selected subject missing after save restore; long name; no development evidence.","Profile selection must match controlled roster or pro-team ownership; no hidden truth is invented.","PlayerProfileView; CoachWorldPersonnelProvider.playerProfile; presentation.selectedSubjectID","The profile is read-only and uses the same stable identity as roster rows.","T-UI-018-H open/close; T-UI-018-E unknown/departed ID; T-UI-018-R restore selected subject; T-UI-018-A VoiceOver.","Implemented; read-model tests passed; live journey unverified",0,Medium,"Subject ID persistence is covered by save round-trip tests.",2026-08-19,"PlayerProfileView.swift; CoachWorldStore.swift; SaveDocumentTests.swift"
UI-019,Development Plan,"As a coach, I want to inspect development evidence so I can understand why a player changed.","Open development readouts for a roster player and return without making up a mutation.","No roster; unknown ID; no history; close from profile vs roster.","Only retained development records are displayed; open action is presentation-only.","DevelopmentPlanView; CoachWorldStore.openDevelopmentEvidence; PeopleLifecycleSystem","Development changes occur through lifecycle simulation, not this view.","T-UI-019-H inspect/return; T-UI-019-E unknown player; T-UI-019-R no mutation; T-UI-019-A AX5.","Implemented; lifecycle/read-model paths covered; live journey unverified",0,Medium,"The root callback intentionally records a receipt rather than inventing an editing flow.",2026-08-19,"DevelopmentPlanView.swift; CoachWorldStore.swift; PeopleLifecycleTests.swift"
UI-020,Staff Room,"As a coach, I want to inspect employed staff and their roles so I can understand delegated responsibilities.","Show current staff profiles, roles, ratings, continuity, and supported links; keep staff ownership tied to the controlled organisation.","Missing role; no staff; delegated decision; pro vs college staff; long names.","Staff must be employed by the controlled organisation; role labels come from canonical mappings.","CoachWorldStaffRoomProvider; StaffRoomView; StaffMarketProfileView; Staff state","Staff market is distinct from staff currently employed.","T-UI-020-H inspect staff/profile; T-UI-020-B missing role; T-UI-020-C delegated responsibility; T-UI-020-A AX5.","Implemented; lifecycle/provider suites passed; live journey unverified",0,Medium,"Staff Market & Profile is a composite alias into Staff Room.",2026-08-19,"StaffRoomView.swift; CoachWorldStaffRoomProvider.swift; CoachingTreeTests.swift"
UI-021,Staff Market & Profile,"As a coach, I want to review staff market information where available so I can understand hiring options.","Resolve to the Staff Room host while preserving the legacy route identity for migration/proof tooling.","No staff model; unavailable market; stale route.","Route canonicalizes to Staff Room; no unsupported action is exposed.","ScreenRegistry; StaffRoomReadModel; StaffMarketProfileView","The current code may expose only a read-only profile, not a complete hiring market.","T-UI-021-H route/inspect; T-UI-021-E unavailable model; T-UI-021-N alias restore.","Implemented as alias to Staff Room; live journey unverified",0,Medium,"Feature completeness beyond profile display remains unverified.",2026-08-19,"ScreenRegistry.swift; StaffMarketProfileView.swift"
UI-022,Scheme Book,"As a coach, I want to understand scheme identity and fit so I can choose tactics deliberately.","Resolve through the Game Plan host and show available scheme-plan information without creating unsupported ratings.","No game-plan model; invalid scheme; stale route; no fit observation.","Only valid TacticalPlan values can be committed; evidence must be retained by the authority.","SchemeBookView; GamePlanView; TacticalPlan","Scheme Book is a legacy alias, not a separate backend model.","T-UI-022-H inspect/select; T-UI-022-E invalid/no model; T-UI-022-N alias navigation.","Implemented as alias to Game Plan; live journey unverified",0,Medium,"The UI boundary does not own GameState.",2026-08-19,"ScreenRegistry.swift; SchemeBookView.swift; TacticalStateTests.swift"
UI-023,Personnel Packages,"As a coach, I want to choose personnel packages so my tactical plan matches available players.","Resolve through the Depth Chart host and allow only valid personnel plans.","No depth chart; invalid package; duplicate selection; stale route.","PersonnelPlan enum and position eligibility are validated by the session.","PersonnelPackagesView; DepthChartView; CoachWorldStore.setPersonnelPlan","Legacy alias to Depth Chart.","T-UI-023-H select package; T-UI-023-E invalid/stale; T-UI-023-N alias route.","Implemented as alias to Depth Chart; live journey unverified",0,Medium,"No separate package persistence model is present.",2026-08-19,"ScreenRegistry.swift; PersonnelPackagesView.swift"
UI-024,Recruiting Board,"As a college coach, I want a bounded board of prospects so I can invest limited recruiting resources.","List board and discovery prospects with observer-specific evaluations, costs, availability, and actions to contact/evaluate/visit/offer/withdraw.","Board full; portal closed; no points; prospect removed; action ownership delegated; duplicate action.","Board size, phase, contact points, scholarship capacity, and ownership are checked before actions.","CoachWorldRecruitingBoardProvider; RecruitingBoardView; CollegeRecruitingSystem; CoachWorldStore.actOnProspect","Prospect IDs are stable and observer knowledge is not hidden truth.","T-UI-024-H contact/evaluate/visit/offer; T-UI-024-B board/points/capacity; T-UI-024-S stale prospect; T-UI-024-A AX5.","Implemented; recruiting/provider suites passed; live journey unverified",1,High,"Recruiting is a major user journey and was not covered by the live simulator walkthrough.",2026-08-19,"RecruitingBoardView.swift; CoachWorldRecruitingBoardProvider.swift; CollegeStateTests.swift"
UI-025,Prospect Profile,"As a recruiter, I want a prospect detail view so I can evaluate one candidate and take a valid action.","Open a selected board/discovery prospect; show evidence, fit, status, and available actions; return to board.","Unknown prospect; prospect not on board; action becomes unavailable; portal phase changes.","Actions are revalidated by stable prospect ID and current recruiting authority.","ProspectProfileView; CoachWorldRecruitingBoardProvider; RecruitingBoardView","A prospect is not a player until signing.","T-UI-025-H inspect/action/close; T-UI-025-E unknown/stale; T-UI-025-P hidden-truth separation; T-UI-025-A VoiceOver.","Implemented; provider/recruiting suites passed; live journey unverified",0,Medium,"The model carries explicit evaluation confidence rather than printing hidden truth.",2026-08-19,"ProspectProfileView.swift; CoachWorldRecruitingBoardProvider.swift; RecruitingBoardView.swift"
UI-026,Shortlist,"As a recruiter, I want a focused shortlist so I can prioritize prospects without changing the board.","Show the board's selected/shortlisted prospects and open their profiles.","Empty shortlist; prospect removed; duplicate IDs; long list.","Shortlist membership must refer to current board/discovery IDs.","ShortlistView; RecruitingBoardReadModel","Shortlist is presentation/read-model behavior, not a separate simulation ledger.","T-UI-026-H open prospect; T-UI-026-E empty/stale; T-UI-026-A long list/AX5.","Implemented; read-model path covered; live journey unverified",0,Medium,"No separate shortlist mutation is present in the root router.",2026-08-19,"ShortlistView.swift; ScreenRegistry.swift"
UI-027,Contact & Visit Planner,"As a recruiter, I want to schedule contacts and visits while seeing their cost and eligibility.","Show valid contact/visit actions and commit them through the recruiting authority.","No points; visit already scheduled; portal closed; no board slot; delegated ownership.","Contact-point costs, recruiting phase, board membership, and user ownership are checked.","ContactVisitPlannerView; CoachWorldStore.actOnProspect; CollegeRecruitingSystem","Visits are bounded by recruiting rules and share the NIL/recruiting ledger constraints.","T-UI-027-H schedule contact/visit; T-UI-027-B zero points; T-UI-027-S stale ID; T-UI-027-A AX5.","Implemented; recruiting transaction coverage passed; live journey unverified",0,Medium,"Planner is a focused route over the same board read model.",2026-08-19,"ContactVisitPlannerView.swift; CoachWorldRecruitingBoardProvider.swift"
UI-028,Class Overview,"As a recruiter, I want a class overview so I can judge roster needs and current commitments.","Show class rows/counts derived from recruiting state and route back to recruiting surfaces.","No prospects; class limit; released commitment; signing boundary; position need changes.","Counts and capacity are derived from authoritative recruiting/programme state.","ClassOverviewView; RecruitingBoardReadModel; CollegeCommitmentCapacitySystem","Class overview is informational unless an action is explicitly wired.","T-UI-028-H inspect class; T-UI-028-B capacity zero/full; T-UI-028-R signing boundary; T-UI-028-A AX5.","Implemented; commitment/provider suites passed; live journey unverified",0,Medium,"Position needs are generated by the provider from current roster state.",2026-08-19,"ClassOverviewView.swift; CollegeCommitmentTests.swift"
UI-029,Signing Day,"As a college coach, I want signing-day resolution to make commitments authoritative.","Show signing-phase decisions and resolve valid signings/releases at the authoritative boundary.","Commitment capacity changed; missing prospect; scholarship full; exceptional release; repeat resolution.","Signing and commitment reservations preserve capacity and record explicit outcomes.","SigningDayView; CollegeSigningSystem; CollegeCommitmentCapacitySystem; CollegeOffseasonReadModel","Signing is the transition that creates the persistent college player.","T-UI-029-H sign/release; T-UI-029-B capacity; T-UI-029-S repeated resolution; T-UI-029-I hostile state.","Implemented; commitment tests passed; live journey unverified",0,High,"Signing is a business boundary and should be included in the next live career walkthrough.",2026-08-19,"SigningDayView.swift; CollegeCommitmentTests.swift; CollegeStateTests.swift"
UI-030,Portal Hub,"As a college coach, I want to see the transfer portal state so I can retain or acquire players.","Resolve the legacy Portal Hub route to the College Offseason host and show current portal phase/resources/actions there.","Portal closed; no entrants; no retention capacity; stale legacy route.","Portal phase and transaction authority control availability.","PortalHubView; CollegeOffseasonView; CollegePortalPolicyV1; ScreenRegistry","Portal Hub is a legacy alias to College Offseason.","T-UI-030-H open portal; T-UI-030-E closed/no entrants; T-UI-030-N alias restore.","Implemented as alias to College Offseason; portal suites passed; live journey unverified",0,High,"Portal routes are composite and need explicit end-to-end verification.",2026-08-19,"PortalHubView.swift; ScreenRegistry.swift; PortalPolicyTests.swift"
UI-031,Retention Decisions,"As a college coach, I want to decide which portal entrants to retain so I can protect roster continuity.","Resolve to College Offseason and commit valid retention decisions through portal authority.","Player ineligible; retention budget exhausted; repeated decision; missing player.","Eligibility, retention capacity, NIL ledger, and controlled ownership are checked.","RetentionDecisionsView; CollegePortalTransactionV1; CollegePortalPolicyV1","Legacy alias to College Offseason.","T-UI-031-H retain/release; T-UI-031-B capacity; T-UI-031-S stale player; T-UI-031-N alias.","Implemented as alias to College Offseason; portal transaction suites passed; live journey unverified",0,High,"Requires a live offseason state to exercise.",2026-08-19,"RetentionDecisionsView.swift; PortalTransactionTests.swift"
UI-032,Portal Market,"As a college coach, I want to evaluate portal entrants and destinations so I can make transfer choices.","Resolve to College Offseason and display entrant observations/actions without regenerating player identities.","No entrants; closed window; player identity mismatch; destination full.","Portal player identity persists; policy and transaction functions revalidate destination/capacity.","PortalMarketView; CollegePortalMatchingV1; CollegePortalPolicyV1","Legacy alias to College Offseason.","T-UI-032-H inspect/offer; T-UI-032-E closed/no entrants; T-UI-032-I identity mismatch; T-UI-032-N alias.","Implemented as alias to College Offseason; portal matching suites passed; live journey unverified",0,High,"A portal entrant retains the same player identity by domain contract.",2026-08-19,"PortalMarketView.swift; PortalMatchingTests.swift; CONTEXT.md"
UI-033,NIL Allocation,"As a college coach, I want to allocate bounded NIL resources so I can influence recruiting and retention.","Resolve to College Offseason and commit integer NIL allocations through the single ledger.","Zero budget; negative amount; amount over budget; duplicate promise; recruiting vs portal collision.","Amounts are non-negative integers; ledger prevents double spend and preserves balance.","NilAllocationView; ProgrammeNILState; CollegeRecruitingSystem; CollegePortalTransactionV1","NIL is not salary or a pro contract.","T-UI-033-H allocate; T-UI-033-B zero/over-budget; T-UI-033-I negative/duplicate; T-UI-033-N alias.","Implemented as alias to College Offseason; transaction suites passed; live journey unverified",0,High,"The ledger is a critical data-integrity seam.",2026-08-19,"NilAllocationView.swift; CollegeStateTests.swift; PortalTransactionTests.swift"
UI-034,Cap & Contracts,"As a professional coach, I want cap and contract information so I can make legal roster choices.","Show cap snapshot, contracts, and valid management actions for the controlled pro team.","No pro job; cap full; expired contract; injured player; minimum roster constraints.","Cap hits and roster legality are computed by ProManagementSystem; invalid actions are unavailable/refused.","CapContractsView; CoachWorldProManagementProvider; ProManagementSystem; ProRules","Only available after promotion to pro tier.","T-UI-034-H inspect contract; T-UI-034-B cap boundary; T-UI-034-I illegal release/sign; T-UI-034-A AX5.","Implemented; cap/pro-management suites passed; live pro journey unverified",1,High,"Pro management was not visually verified on a simulator per current status.",2026-08-19,"CapContractsView.swift; CoachWorldProManagementProvider.swift; CapComplianceTests.swift"
UI-035,Contract Negotiation,"As a professional coach, I want to review active negotiations and make a legal response.","Show negotiation rows and resolve supported pro-management actions through the authority.","Negotiation closed; invalid offer; cap change; duplicate response; player no longer controlled.","Contract terms and cap legality are validated before mutation.","ContractNegotiationView; CoachWorldStore.actOnProManagement; ProManagementSystem","Negotiations are pro-only and state-backed.","T-UI-035-H respond; T-UI-035-E stale/closed; T-UI-035-B cap boundary; T-UI-035-R persistence.","Implemented; pro-management tests passed; live pro journey unverified",0,High,"The view and provider compile but do not have live sample fixtures in the debug harness.",2026-08-19,"ContractNegotiationView.swift; ProManagementTests.swift; docs/STATUS.md"
UI-036,Roster Cuts & Transactions,"As a professional coach, I want to release or transact players without breaking roster legality.","Show release/transaction actions; confirm destructive release; apply only legal actions and refresh cap/roster state.","Minimum position coverage; duplicate action; released player; cap impact; practice squad boundary.","Active roster minimums and ownership are checked before release/transaction.","RosterCutsTransactionsView; ProManagementSystem; CoachWorldStore.actOnProManagement","Destructive actions must be clearly placed and confirmed.","T-UI-036-H legal release; T-UI-036-B minimum coverage; T-UI-036-I stale/illegal; T-UI-036-A target and confirmation.","Implemented; pro-management tests passed; live pro journey unverified",0,High,"Manual UX verification is required for destructive action placement.",2026-08-19,"RosterCutsTransactionsView.swift; ProManagementTests.swift"
UI-037,Pro Scouting Board,"As a professional coach, I want to inspect draft and market scouting evidence so I can spend limited points deliberately.","Resolve the legacy route to Pro Offseason and show observer-scoped prospect evidence/actions.","No draft class; no scouting points; stale prospect; hidden truth exposure.","Observation confidence and available points come from pro market state; actions are revalidated.","ProScoutingBoardView; ProOffseasonReadModel; ProMarketState","Legacy alias to Pro Offseason.","T-UI-037-H inspect/scout; T-UI-037-B zero points; T-UI-037-P hidden truth; T-UI-037-N alias.","Implemented as alias to Pro Offseason; pro-market tests passed; live pro journey unverified",0,High,"No independent pro scouting model is exposed by the router.",2026-08-19,"ProScoutingBoardView.swift; CoachWorldProOffseasonProvider.swift; ProMarketTests.swift"
UI-038,Draft Board,"As a professional coach, I want to prepare for the draft and see the current pick context.","Resolve the legacy route to Pro Offseason and show draft prospects/actions when the phase supports them.","Not draft phase; pick belongs to another team; roster full; no prospects; stale pick.","Draft phase, current pick team, roster capacity, and prospect eligibility gate actions.","DraftBoardView; ProOffseasonReadModel; ProMarketState; ProRules","Legacy alias to Pro Offseason.","T-UI-038-H inspect/current pick; T-UI-038-B phase/pick/roster boundary; T-UI-038-S stale pick; T-UI-038-N alias.","Implemented as alias to Pro Offseason; pro-market tests passed; live pro journey unverified",0,High,"Draft action must be verified on a real pro-offseason state.",2026-08-19,"DraftBoardView.swift; CoachWorldProOffseasonProvider.swift; ProMarketTests.swift"
UI-039,Draft Room,"As a professional coach, I want to make my draft pick when it is my turn.","Show the draft room only when the controlled team owns the current pick and phase is draft; commit a valid selection.","Wrong team pick; phase changed; prospect selected twice; full roster; invalid prospect ID.","Current pick team, draft phase, roster capacity, and draft class membership are revalidated.","DraftRoomView; ProMarketSystem; CoachWorldStore.actOnProMarket","Draft Room is a separate host from the legacy board alias.","T-UI-039-H make pick; T-UI-039-E wrong turn/phase; T-UI-039-S stale pick; T-UI-039-R after pick state.","Implemented; pro-market tests passed; live pro journey unverified",0,High,"Shown only when proOffseason.phase == draft.",2026-08-19,"DraftRoomView.swift; CoachWorldAppRootView.swift; ProMarketTests.swift"
